Handle;Title;Option1 Name;Option1 Value (Material);Option2 Name;Option2 Value (Farbe);Option3 Name;Option3 Value (Marke);SKU;Qty;Spalte1;Spalte2;Spalte3;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;transparent blau;Marke;Colido;COL-PETG-TBL;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;transparent rot;Marke;Colido;COL-PETG-TRO;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;bronze;Marke;Colido;COL-PETG-BO;7;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;cosmi;Marke;Colido;COL-PETG-CO;0;;;;;;
;;;;;;;;;;;;;;;
petg-hs-175;PETG HS Matt Filament 1.75mm;Material;PETG HS Matt;Farbe;hellblau;Marke;Jayoo;JAY-PETG-HS-RO;0;;1;;;;
petg-hs-175;PETG HS Matt Filament 1.75mm;Material;PETG HS Matt;Farbe;grün;Marke;Jayoo;JAY-PETG-HS-OR;0;;1;;;;
petg-hs-175;PETG HS Matt Filament 1.75mm;Material;PETG HS Matt;Farbe;rot;Marke;Jayoo;JAY-PETG-HS-SW;0;;1;;;;
petg-hs-175;PETG HS Matt Filament 1.75mm;Material;PETG HS Matt;Farbe;blau;Marke;Jayoo;JAY-PETG-HS-WE;0;;1;;;;
petg-hs-175;PETG HS Matt Filament 1.75mm;Material;PETG HS Matt;Farbe;grau;Marke;Jayoo;JAY-PETG-HS-GRÜ;0;;0;;;;
;;;;;;;;;;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;weiß;Marke;Geetech;GEE-TPU-WE;7;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;schwarz;Marke;Geetech;GEE-TPU-SW;8;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;rot;Marke;Geetech;GEE-TPU-RO;4;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;gelb;Marke;Geetech;GEE-TPU-GE;0;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;grün;Marke;Geetech;GEE-TPU-GRÜ;4;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;orange;Marke;Geetech;GEE-TPU-OR;4;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;blau;Marke;Geetech;GEE-TPU-BL;2;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;lila;Marke;Geetech;GEE-TPU-LI;0;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;pink;Marke;Geetech;GEE-TPU-PI;1;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;grau;Marke;Geetech;GEE-TPU-GR;4;;;;;;
